b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'2',17,17
b'2',23,23
b'2',23,23
b'2',23,23
b'2',23,23
b'2',23,23
b'2',23,23
b'2',23,23
b'2',23,23
b'2',23,23
b'2',23,23
b'2',23,23
b'2',23,23
b'2',23,23
b'2',23,23
b'2',26,26
b'2',27,27
b'2',15,15
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'1',15,15
b'1',28,28
b'1',28,28
b'1',30,30
b'1',30,30
b'1',30,30
b'1',30,30
b'1',30,30
b'1',30,30
b'1',30,30
b'1',30,30
b'1',30,30
b'1',30,30
b'1',30,30
b'1',30,30
b'1',30,30
b'1',30,30
b'1',30,30
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0

b'0',0,0

b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'2',17,17
b'2',23,23
b'2',23,23
b'2',23,23
b'2',23,23
b'2',23,23
b'2',23,23
b'2',23,23
b'2',23,23
b'2',23,23
b'2',23,23
b'2',23,23
b'2',23,23
b'2',23,23
b'2',23,23
b'2',26,26
b'2',27,27
b'2',15,15
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'1',15,15
b'1',28,28
b'1',28,28
b'1',30,30
b'1',30,30
b'1',30,30
b'1',30,30
b'1',30,30
b'1',30,30
b'1',30,30
b'1',30,30
b'1',30,30
b'1',30,30
b'1',30,30
b'1',30,30
b'1',30,30
b'1',30,30
b'1',30,30
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
b'0',0,0
