repeat,0,0,0
repeat,0,0,0
repeat,0,0,0
repeat,0,0,0
repeat,0,0,0
repeat,0,0,0
repeat,0,0,0
repeat,2,0,0
repeat,2,0,0
repeat,2,8,0
repeat,2,8,0
repeat,2,26,8
repeat,2,53,44
repeat,2,71,80
repeat,2,98,98
repeat,2,116,107
repeat,2,116,116
repeat,2,125,134
repeat,2,116,125
repeat,2,98,98
repeat,2,89,89
repeat,2,89,89
repeat,2,89,89
repeat,2,107,98
repeat,2,116,98
repeat,2,134,98
repeat,2,125,98
repeat,2,134,107
repeat,2,125,98
repeat,2,125,98
repeat,2,125,89
repeat,2,125,89
repeat,2,134,98
repeat,2,161,98
repeat,2,152,89
repeat,2,152,80
repeat,2,143,80
repeat,2,143,71
repeat,2,134,80
repeat,2,134,80
repeat,2,134,80
repeat,2,125,80
repeat,2,143,89
repeat,2,152,107
repeat,2,161,107
repeat,2,152,107
repeat,2,161,98
repeat,2,161,98
repeat,2,143,98
repeat,2,134,89
repeat,2,134,89
repeat,2,152,98
repeat,2,152,98
repeat,2,143,98
repeat,2,125,98
repeat,2,107,98
repeat,2,98,89
repeat,2,89,98
repeat,2,98,89
repeat,2,89,89
repeat,2,98,107
repeat,2,98,98
repeat,2,107,107
repeat,2,116,107
repeat,2,116,89
repeat,2,125,98
repeat,2,125,89
repeat,2,134,98
repeat,2,134,98
repeat,2,125,98
repeat,2,134,98
repeat,2,125,89
repeat,2,125,89
repeat,2,134,98
repeat,2,134,107
repeat,2,116,80
repeat,2,98,89
repeat,2,98,89
repeat,2,89,98
